رقم الصنف,الوصف,عدد الباركودات,الباركودات
7222,فشار مالح جونيا - JUNIA  شطة وليمون,11,9658895181161 | 2005990864067 | 8658895181154 | 9658895181130 | 9658895181123 | 9658895181154 | 9658895181185 | 2005990864036 | 9725996588950 | 9658895170059 | 598090629664
7248,برغل  يلديز 1 كيلو yildiz خشن,2,8682162728330 | 8682162726053
7264,طحين جوز الهند الشيخ قاسم مشكل 500 جرام,2,6253503472797 | 6253503477280
7268,,16,6251668001241 | 6457814244702 | 79873658901235 | 6457813540058 | 9582797235069 | 64578015540058 | 5020195310710 | 7290000211503 | 6291104480704 | 6225000343412 | 744343025817 | 7290018348109 | 788364714848 | 7562168492163 | 7290019298311 | 7290100702864
7270,ملح طعام  بونو  600 جرام  - bono,2,6224000121921 | 6225000296022
7279,ارز بسمتي مصري 1 كيلو  - ابو سنينة,4,7290012004506 | 6253803990090 | 6224000439057 | 6253804992109
7286,برغل النخيل 1 كيلو - tat,3,6253505670078 | 7290020039019 | 7290011423933
7288,برغل ناعم النخيل  1 كيلو,4,6253505670030 | 6253505670016 | 8697686871165 | 6253505670139
7296,,1,2009993777020
7297,سميد ابو تاج 1 كيلو,1,7290019298731
7298,,6,7290015011020 | 7290002707134 | 693493252294 | 6223007941419 | 7290002971009 | 6951028300051
7313,,1,6224000422998
7315,سكر الزياد 1 كيلو,2,6333002264014 | 6225000286726
7322,,1,6111242130715
7402,خل تفاح احمر بيت المقدس 700 مل,0,
7403,خل أبيض ابو حميد 850 مل,6,26789125 | 25678918 | 12345670 | 22345677 | 24567886 | 23456785
7412,خل  ابيض موجو 473 مل,2,750258035162 | 750258035193
7413,خل احمر موجو 946 مل,2,757449231068 | 750258035155
7414,خل ابيض ليماس 500 مل Lemas,3,8680805281150 | 8680805280818 | 8680805281051
7420,خل توركو عنب 500 مل TORKU,3,8680181064460 | 8680181121354 | 8680181064446
7422,خل ابيض الشيخ قاسم 650 مل,4,6253503475316 | 6253503475309 | 6253503475507 | 6253503475460
7423,ماء زهر 850 مل / الأيوبي,1,2002881040104
7425,,1,6253505513184
7427,ماء ورد الشتا 650 ملي,5,6254000083141 | 6254000830806 | 6254000083165 | 6254000083158 | 6254000083516
7429,,2,6253503471196 | 6253503473176
7432,ماء ورد زيتا لاند,2,6253505513221 | 6253505513245
7436,خل ابيض - اسوار الاقصي 850 مل,1,2016201620105
7445,خل يلديز 1 لتر  yildiz ماء ورد,3,8682162721850 | 8682162722079 | 8682162721157
7446,خل نيو لاند 472 مل NEW LAND - تفاح,1,6251088089157
7448,خل بيت المقدس 850 مل عنب,4,2005924040307 | 2005924040291 | 2005924040277 | 2005924040321
7452,ماء زهر  ريحانة فود 850 مل,1,7982981612027
7460,ماء الورد مراد فود 1 لتر - ماء زهر,2,9781234543597 | 6281000809099
7468,عصير ابو تاج عنب 3 لتر,1,7290015910125
7506,,4,6253503980087 | 6253503981992 | 568740020219 | 568740200321
7513,,1,210019
7514,,1,210600004024
7518,,5,7290020039071 | 6253017102005 | 6253503980056 | 7290006439475 | 568740020226
7520,,1,568740020165
7526,,1,7290003470495
7530,ملح بكيت 1 كيلو,9,7290004063016 | 6772504596825 | 6290361442029 | 6291106826289 | 785571431810 | 6251586053001 | 6254000009271 | 6253808130132 | 6774441900239
7584,,2,6224011058056 | 6224010050075
7597,,1,8680834602629
7905,دقة ابو حميد 250 جرام - بكيت,2,1012345678997 | 6251972000657
7906,دقة ابو حميد 250 جرام - مرطبان,1,2020021508147
7907,دقة ابو حميد 500 جرام,1,2003004005000
7908,دقة بدري وهنية 200جرام - بكيت,1,6223017440049
7919,زعتر ابو حميد 100 جرام - كيس,1,8585888888886
7920,زعتر ابو حميد 250 جرام,1,1012345671004
7921,زعتر ابو حميد 250 جرام - مرطبان,2,1012345672131 | 1012345672148
7922,زعتر ابو حميد 500 جرام - مرطبان,1,1002005009995
7924,زعتر الكسيح ايام زمان 225 جرام,1,6253001090028
7928,,2,2002567655240 | 2122567550427
7929,زعتر جبل جنين 250 جرام,1,2002567655233
7930,زعتر جبل جنين 500 جرام مرطبان,1,2002567655257
7931,,1,100025
7934,زعتر لزيزة 500 جرام Lazeza,1,6253503963813
7936,زعتر ابو حميد 500 جم بالزيت  - كرتون,2,6251972000169 | 6251972000152
7941,زعتر الأيوبي 125 جرام,2,9465704160329 | 9729527452505
7943,زعتر علب بلدي 250 جرام  - الأيوبي,1,2005965487932
7944,زعتر بالزيت 250 جرام علبة -  الأيوبي,1,2005965487949
7945,,1,2002567550422
7948,,1,2112567550428
7953,زعتر بيت الكرم 500 جرام,1,2020100615322
7955,زعتر بزيت بيت الكرم 250 جرام,1,2020101215422
7964,,1,9428539500005
7973,,1,6251972000626
7980,زعتر بلدي مساه 400 جم,1,9780042659626
7984,,1,6253503980025
7986,,1,6253501438290
8003,,1,7290012983276
8005,دبس تمر ميرو 800 جرام Mero,1,6223001053408
8011,دبس رمان زير 345 جرام - بلاستك ZER,1,8697422633668
8012,دبس رمان زير 345 جرام ZER,1,8697422630995
8013,دبس رمان زير بكرج 340 جم,1,8697422631336
8014,دبس رمان ليماس 350 جرام Lemas,1,8680805280290
8019,عسل اسود الميزان 700جرام,1,6223007430531
8021,دبس ميرو 380 جرام Mero,2,6223001052357 | 6223001051534
8022,مربى التات فراولة 800 جرام Eltat,4,8692594340390 | 8692594340420 | 8692594340406 | 8692594340413
8023,مربى الكيشوان فواكه 500 جرام Alkaizhwan,4,7350043855024 | 7350043855000 | 7350043855055 | 7350043855017
8024,مربى ايمك فراولة 800 جرام Emek,4,8696521008179 | 8696521010189 | 8696521008230 | 8696521008193
8025,مربى بامبا عنب 510 جرام Pampa,1,876941009521
8026,مربى حلواني تين 750 جرام,4,6221029620121 | 6221029670126 | 6221029600123 | 6221029610122
8027,مربى ستيوت بدون سكر 430 جرام - فراولة,7,4006424022365 | 4006424022372 | 4006424022389 | 4006424022341 | 4006424022686 | 4006424022693 | 4006424022334
8028,مربى فيتراك مشمش 650 جرام Vitrac,4,6221024002052 | 6221024002090 | 6221024002069 | 6221024002083
8029,مربى فيتراك فراولة 860 جرام Vitrac,4,6221024050015 | 6221024050022 | 6221024050039 | 6221024050121
8030,مربى ليماس الكرز 800 جرام Lemas,4,8696313004600 | 8696313004594 | 8696313004570 | 8696313004587
8031,مربى مري لاند برتقال 700 جرام Merry Land,7,8698529310995 | 8698529310971 | 8698529311022 | 8698529310988 | 8698529311008 | 8698529311015 | 8698529310964
8032,مربي الميزان فراولة 720 جرام,4,6223000053058 | 6223000053065 | 6223000053140 | 6223000053072
8033,مربي توناس برتقال 800 جرام,10,8692594004773 | 8692594005312 | 8692594004742 | 8692594005770 | 8692594004735 | 8692594004759 | 8692594004766 | 8692594004728 | 8692594005329 | 8696313100432
8035,مربي حدائق الشام تين 800 جرام - مرطبان,3,6224007795088 | 6224007795071 | 6224007795095
8036,مربي ميرو فراولة 450 جرام Mero,1,6223001052586
8039,مربى لقمان بطعم الفراولة 700 جرام,10,8692388603441 | 8692388603434 | 8692388603458 | 8692388005047 | 8692388090197 | 8692388503758 | 8692388503741 | 8692388503734 | 8692388504571 | 8692388501457
